ITEM,Custom1,Custom2
23114,CRANBERRY COCKTAIL,BIB
23138,100% COLOMBIAN COFF.,V CAF•À_•À__•À_•À___ BASE
23190,LIMEADE JUICE,
23197,LEMONADE ,JUICE
23201,ACAI SUPERFRUIT PACK,
23232,RED GRAPEFRUIT JUICE,
23902,QUINOA,DRY GRAIN
23905,QUINOA,WHITE
23909,SUNRISE BLEND,W/QUINOA FLAKES
23910,ROLLED OATS,
23912,BLACK QUINOA,
23913,FARRO,
23914,WHEAT BERRIES,
24000,CHOCOLATE MIX,SWEETENED
24006,HOT CHOCOLATE MIX,
24007,COCOA MIX,NATURAL
24008,TARO MIX,INSTANT POWDER
24009,STRAWBERRY MIX,INSTANT POWDER
24010,HOT CHOCOLATE MIX,
24011,MANGO MIX,INSTANT POWDER
24012,HONEYDEW MIX,INSTANT POWDER
24014,LITCHI MIX,INSTANT POWDER
24015,ALMOND MIX,INSTANT POWDER
24021,ICED TEA MIX,SUGAR FREE
24039,PEACH ICED TEA,"""ON THE GO"""
24043,HAW'N ICED TEA MIX,
24061,HOT COCOA,SUGAR FREE
24120,LEMONADE DRINK,MIX
24165,BUBBLE TEA POWDER,SNOW ICE MIX
24166,THAI TEA POWDER,SNOW ICE MIX
24167,COCONUT POWDER,SNOW ICE MIX
24168,ORIGINAL POWDER,SNOW ICE MIX
24169,GREEN TEA POWDER,SNOW ICE MIX
24170,MANGO POWDER,SNOW ICE MIX
24171,STRAWBERRY POWDER,SNOW ICE MIX
24172,TARO POWDER,SNOW ICE MIX
24173,HONEYDEW POWDER,SNOW ICE MIX
24174,SESAME POWDER,SNOW ICE MIX
24176,MANGO TOPPING,MALT CRISPIES
24177,STRAWBERRY TOPPING,MALT CRISPIES
24178,MATCHA TOPPING,MALT CRISPIES
24179,HONEY TOPPING,MALT CRISPIES
24180,COCONUT TOPPING,MALT CRISPIES
24181,CHOCOLATE TOPPING,MALT CRISPIES
24505,ROOT BEER,
24507,7-UP,
24512,7-UP,DIET
24518,PEPSI COLA,
24519,GINGER ALE,
24520,CLUB SODA,
24521,MOUNTAIN DEW SODA,CUBE
24522,DIET PEPSI,
24523,MOUNTAIN DEW ,SODA
24524,PEPSI,
24525,LEMON LIME,MIST TWIST
24529,MOUNTAIN DEW ,SODA
24545,GINGER ALE,
24547,ROOT BEER,
24548,ROOT BEER,
24556,MANDARIN SODA,
24557,LIME SODA,
24558,PINEAPPLE SODA,
24559,STRAWBERRY SODA,
24560,MANGO SODA,
24561,GUAVA SODA,
24565,SPARKLING MINERAL WATER,
24566,TONIC WATER,
24567,TAMARIND SODA,
24569,MEXICAN COLA,SODA
24572,KAUAI WATER,NATURAL ARTESIAN
24573,SPARKLING WATER,
24580,BOTTLED WATER,
24583,BOTTLED WATER,
24584,BOTTLED WATER,
24585,BOTTLED WATER,500ML
24586,BOTTLED WATER,
24589,BOTTLED WATER,PURIFIED
24613,PEPSI COLA,
24614,PEPSI COLA,DIET
24616,SIERRA MIST,
24617,WATER,
24618,MOUNTAIN DEW KICKSTART,BLACK CHERRY
24619,MOUNTAIN DEW KICKSTART,FRUIT PUNCH
24620,MOUNTAIN DEW KICKSTART,LIMEADE
24621,MOUNTAIN DEW KICKSTART,ORANGE CITRUS
24622,ROCKSTAR ENERGY,
24628,COCA COLA,CLASSIC
24629,COCA COLA,DIET
24630,COCA COLA,ZERO
24631,SPRITE,
24632,POWERADE,LEMON LIME
24633,POWERADE,MOUNTAIN BLAST
24634,COCA COLA,CLASSIC
24635,COCA COLA,DIET
24637,SPRITE,
24638,POWERADE,FRUIT PUNCH
24640,MANGO TANGO SMOOTHIE,
24641,STRAWBERRY C SMOOTHIE,
24642,SUPERPFOOD SMOOTHIE,
24643,BLUEBERRY B SMOOTHIE,
24644,CHOCOLATE PROTEIN SMOOTHIE,
24645,CARROT JUICE,100%
24646,CARROT JUICE,100%
24647,POMEGRANATE LIMEADE JUICE,
24648,MANGO TANGO SMOOTHIE,
24649,STRAWBERRY C SMOOTHIE,
24650,SUPERFOOD SMOOTHIE,
24651,BLUEBERRY B SMOOTHIE,
24652,LEMON JUICE ,
24653,LIME JUICE,
24654,ORANGE JUICE,100%
24655,CARROT JUICE,100%
24656,CARROT JUICE,ORGANIC 100%
24657,ORANGE JUICE,
24658,LEMON JUICE,
24659,LIME JUICE,
24660,MANGO TANGO SMOOTHIE,
24661,STRAWBERRY C SMOOTHIE,
24662,SUPERFOOD SMOOTHIE,
24663,BLUEBERRY B SMOOTHIE,
24664,POMEGRANATE LIMEADE JUICE,
24670,TONIC WATER,
24671,CLUB SPARKLING SELTZER WATER,
24672,PEPSI SODA,
24673,DIET PEPSI SODA,
24674,SIERRA MIST SODA,
24675,MOUNTAIN DEW SODA,
24676,AQUAFINA WATER,
24677,GREEN TEA,
25503,FRUIT PUNCH,FOODSERVICE BIB
25505,DIET COKE,FOODSERVICE BIB
25506,SPRITE,FOODSERVICE BIB
25507,CLASSIC COKE ,FOODSERVICE BIB
25516,LUAU SYRUP,ORANGE PASSION
25522,LUAU SYRUP,STRAWBERRY
25523,LUAU SYRUP,ORANGE
25524,LUAU SYRUP,FRUIT PUNCH
25529,ROOT BEER SYRUP,BIB
25539,LITCHI JUICE,SYRUP
25541,JUICE SYRUP,PASSION FRUIT
25542,JUICE SYRUP,STRAWBERRY
25543,JUICE SYRUP,GREEN APPLE
25544,HONEYDEW JUICE,SYRUP
25546,PEACH JUICE,SYRUP
25547,JUICE SYRUP,MANGO
25548,PINEAPPLE JUICE,SYRUP
25549,WHITE PEACH SYRUP,
25560,STRAWBERRY SMOOTHIE BASE,
25561,BANANA SMOOTHIE BASE,
25562,SMOOTHIE BASE,MANGO
25563,PINA COLADA SMOOTHIE BASE,
25571,LEMONADE,FOODSERVICE BIB
25576,SHAVE ICE SYRUP,BANANA
25577,SHAVE ICE SYRUP,BUBBLE GUM
25578,SHAVE ICE SYRUP,COCONUT
25579,SHAVE ICE SYRUP,STRAWBERRY
25580,SHAVE ICE SYRUP,WATERMELON
25581,SHAVE ICE SYRUP,LIME
25582,JUICE SYRUP,RED GUAVA
25583,RASPBERRY SYRUP,
25584,JUICE SYRUP,KUMQUAT & LEMON
25585,JUICE SYRUP,BLUEBERRY
26501,GREEN TEA ,FRESH BREWED
26502,ICED TEA,
26506,BLACK TEA,DECAF
26508,BLACK TEA BAG,HOT
26510,BLACK TEA BAG,
26511,GREEN TEA,
26512,ARIZONA GREEN TEA,
26513,BLACK TEA,LEAVES
26515,JASMINE GREEN TEA,LEAVES
26525,TEA,BREAKFAST ORGANIC
26526,TEA,EARL GREY ORGANIC
26527,TEA,TROPICAL GREEN TEA
26528,TEA,JASMINE DOWNEY PEARL
26529,TEA,CHAMOMILE CITRUS
26530,TEA,AFRICAN NECTAR ORGANIC
26532,ICED TEA,
26533,LEMON ICED TEA,
26534,TEA,MATCHA ORGANIC
26535,TEA,BREAKFAST ORGANIC
26536,TEA,EARL GREY ORGANIC
26537,TEA,BOMBAY CHAI
26538,TEA,TROPICAL GREEN TEA
26539,TEA,SPRING JASMINE ORGANIC
26546,ENGLISH BREAKFAST TEA,
26547,EARL GREY TEA,HERBAL
26548,MINT HERBAL TEA,HERBAL
26549,CHAMOMILE TEA,HERBAL
26550,JASMINE GREEN & ORANGE PASSION TEA,
26555,TEA,CHAMOMILE CITRUS
26556,TEA,MINT MELANGE
26557,TEA,AFRICAN NECTAR ORGANIC
26558,TEA,WILD BERRY HIBISCUS
26583,EARL GREY TEA,
26584,ENGLISH BREAKFAST TEA,
26585,MINT SOOTHER TEA,
26586,MINT SIMPLY MORROCCAN TEA,
26590,CHAMOMILE TEA,
26660,TROPICAL BLEND TEA,
26779,GREEN TEA,
26782,GREEN TEA,
27006,GREN TEA,SENCHA
27009,OOLONG TEA,
27010,GREEN TEA,
27011,OOLONG TEA,
27012,JASMINE TEA,
27013,PU-ERH TEA,
27014,PASSION ORANGE DRINK,
27015,GUAVA DRINK,
27016,LILIKOI PASSION DRINK,
27017,MILK TEA DRINK,
27018,GREEN TEA ,
27019,KONA COFFEE DRINK,
27020,GREEN/BROWN RICE TEA,
27502,TOMATO JUICE,
27512,VEGETABLE JUICE,
27531,TOMATO JUICE,
29024,ACAI BERRY BASE,PUREE
29025,ACAI SUPERFOOD,JUICE
29070,TONIC WATER,BIB
29083,WATER,
29118,MEDIUM ROAST,COFFEE
29160,RED BULL ENERGY DRINK,
29502,COCKTAIL MIX,BLOODY MARY
29503,COCKTAIL MIX,GRENADINE
29504,COCKTAIL MIX,LIME JUICE
29505,COCKTAIL MIX,ORGEAT
29506,COCKTAIL MIX,SWEET & SOUR
29507,COCTAIL MIX,COCONUT
29508,COCKTAIL MIX,TRIPLE SEC
29509,COCKTAIL MIX,PINA COLADA
29511,TOMATO JUICE COCKTAIL,
29512,LIME JUICE,
29514,BITTERS,
29515,CREAM OF COCONUT,
29521,CREAM OF COCONUT,COCKTAIL MIX
29528,COCKTAIL MIX,STRAWBERRY PUREE
29529,COCKTAIL MIX,MANGO PUREE
29575,COCKTAIL MIX,MAI TAI MIX
30101,THIN MINT CANDY,CR•À_•À__•À_•À___ME DE MENTHE
30103,MOCHI CRUNCH,
30105,STARLIGHT PEPPERMINT CANDY,
30106,CHOCO STARLIGHT CANDY,
30210,REESE'S PIECES CANDY,BOX
30424,STARLIGHT SPEARMINT CANDY,
30505,MINI REESE'S,PEANUT BUTTER CUP
30510,MINI KIT KAT,
30901,FOOD TRANSPORT BAG,INSULATED
30902,MOVING BLANKET,INSULATED
40109,CREAM CHEESE,LOAF
40111,CREAM CHEESE,LOAF
40119,PARMESAN CHEESE,GRATED
40120,"CHEDDAR, MILD",SHREDDED
40134,MONTEREY JACK ,SHREDDED
40158,WHITE EGGS,
40159,HARD COOKED EGGS,PEELED
40168,LQD EGGS (BOIL IN BAG),3 DAYS THAW
40171,EGGS,DICED
40181,"EGGS, WHOLE LIQUID",
40186,DRY MILK,NONFAT
41002,HAVARTI CHEESE,PLAIN
41003,HAVARTI CHEESE,W/DILL
41004,HAVARTI CHEESE,LOAF
41005,HAVARTI CHEESE,W/DILL
41010,BUTTER,HERB & GARLIC
41011,FONTINELLA CHEESE,
41013,GINGER PUREE,
41014,MARSCAPONE,
41020,BUTTER,SEA SALT
41023,PARMESAN,GRATED
41029,MONTEREY JACK,BLOCK
41031,FETA,SOFT/CRUMBLY
41032,KASSERI CHEESE,GREEK
41033,SHIRES OF ENGLAND,CHEESE
41034,SAGE DERBY CHEESE,
41035,HAVARTI CHEESE ,LOAF
41036,HAVARTI CHEESE,DILL LOAF
41037,MARSCAPONE,
41040,CHEESE,HAWAIIAN CHILI PEPPER
41041,CHEESE,HAWAIIAN CHILI PEPPER
41042,CHEESE,HAWAIIAN CHILI PEPPER
41043,CHEESE,SMOKED GUAVA
41046,CHEESE,HAWAIIAN CHILI PEPPER
41048,CHEESE,SMOKED GUAVA
41050,STRWBRRY CRM CHS,CUP
41057,SOFT MARGARINE,2 PK SPREAD
41066,BUTTER,CONTINENTAL CHIPS
41069,BLUE SMOKEHOUSE,CHEESE WHEEL
41070,BLUE CHEESE WHEEL,IMPORTED
41071,CHEESE MAKER,RESERVE BOX
41072,PARMESAN,PACKETS
41075,ELGIN BUTTER,UNSALTED
41078,CHEDDAR CHEESE,MILD CUBED
41085,MARGARINE,QUARTERS
41086,ELGIN BUTTER,SALTED
41091,BUTTER BLEND,1+2 BTR/MRGRN
41092,GRADE AA BUTTER,SALTED
41093,GRADE AA BUTTER,UNSALTED
41094,MARGARINE PRINTS,
41095,FRESH LARGE EGGS,MAINLAND
41103,MARGARINE CUPS,
41111,LOCAL MED EGGS,GRADE A
41118,BUTTERMILK,1%  LOWFAT
41119,BUTTERMILK,"PLAIN, HOMOGENIZED"
41121,COTTAGE CHEESE,2%
41129,HAVARTI CHEESE ,SLICE
41132,PEPPERJACK CHEESE,SLICED
41146,BABY SWISS CHEESE,SLICES
41149,BLUE CHEESE CRUMBLE,
41154,MOZZARELLA,SHREDDED
41157,WHOLE LIQUID EGGS,FROZEN
41158,"LIQUID EGGS, WHOLE",FROZEN
41159,SUGAR EGG YOLK,FROZEN
41164,TAMAGO ATSUYAKI,EGG OMELET
41175,MARGARINE CUPS,
41180,BUTTER,HERB & GARLIC
41190,HORSERADISH CHED,CHEESE LOAF
41191,JACK CHEESE,HABANERO MONTEREY
41192,HORSERADISH CHED,CHEESE SLC
41193,WHT CHED CHEESE,SHARP 2YR AGED
41194,ASIAGO MED CHEESE,ROSEMARY RUBBED
41195,ROMANO CHEESE,BLK PEPPER RUBBED
41196,PARM CHEESE BLEND,MEDITERANEAN RUBBED
41197,GOAT CHEESE,FIG & BALSAMIC
41198,GOAT CHEESE,HONEY VANILLA
41199,GOAT CHEESE,WILD BLUEBRY VANILLA
41202,MOZZARELLA,WHOLE MILK LOAF
41204,MOZZARELLA,THERMOFORM LOG
41210,GRADE AA BUTTER,"SALTED, WHIPPED"
41212,"BUTTER, GRADE AA","SALTED, WHIPPED"
41213,BUTTER,HONEY
41214,BUTTER,HONEY
41216,BUTTER,TRUFFLE
41217,BUTTER,TRUFFLE
41218,BUTTER,SEA SALT
41219,WHIPPING CREAM,CLASSIC 36%
41220,WHIPPING CREAM,HEAVY 40%
41221,HALF & HALF,ULTRA PASTURIZED
41225,CULINARY CREAM,
41226,HEAVY CREAM,36%
41227,MONTEREY JACK,LOAF
41231,HAZELNUT CREAMER,
41232,FRENCH VANILLA CREAMER,
41234,HI-WHIP TOPPING,NON DAIRY
41239,WHIP DESSERT TOPPING,
41241,NON-DAIRY WHIP,
41246,CHEDDAR CHEESE,MILD LOAF
41247,CHEESE,SMOKED GUAVA
41248,CHEESE,SMOKED GUAVA
41249,CHEESE,PINK PEPPERCORN
41250,CHEESE,PINK PEPPERCORN
41251,GRANA PADANO CHEESE,WEDGE
41252,CHEESE,PINK PEPPERCORN
41253,CHEESE,FETA
41254,CHEESE,PINK PEPPERCORN
41260,SWISS CHEESE,LOAF
41262,CHEESE BLEND,80/10/10
41263,GRANA PADANO ,WEDGE
41267,AA BUTTER CHIPS,90 CT
41271,"EGGS, GRADE AA",MEDIUM
41272,"EGGS, GRADE AA",XL
41274,WHOLE LIQUID EGGS,
41276,GRADE A EGGS,LARGE
41277,GRADE AA EGGS,LARGE
41278,GRADE AA EGGS,MEDIUM
41279,"EGGS, 30 DOZEN",XL
41282,EGGS,XL
41291,CHEESE BLEND,CHEDDAR/JACK
41293,WHITE NU-WHIP,EGGS
41294,CHEESE BLEND,CHEDDAR/JACK
41309,AMERICAN CHEESE,SLICED
41310,AMERICAN CHEESE,SLICED
41313,ALMOND MILK,UNSWEETEND
41314,ALMOND MILK,VANILLA
41327,EGGS (2 YOLK-1 WHITE),NUTEX FORTIFIED
41335,AMERICAN CHEESE,SLC 81-108 CT
41336,AMERICAN CHEESE,SLICES
41343,EGGS,NO CHOLESTEROL/FAT
41344,EGGS,WHITE
41348,EGG YOLK,
41354,PROVOLONE CHEESE,SLICED
41355,PARMESAN,SHREDDED
41359,LIQUID EGGS,WHOLE
41361,ROMANO CHEESE,SHREDDED
41364,WHITE CHEDDAR CHEESE,
41365,CHEDDAR CHEESE,SHREDDED
41366,AMERICAN CHEESE,
41368,MARGARINE BUTTER,WHIPPED TUB
41369,BUTTER,UNSALTED SWT CREAM
41370,BUTTER,UNSALTED SWT CREAM
41396,CHOCOLATE SOY MILK,ORGANIC
41400,SOUR CREAM,MEXICAN STYLE
41433,SOUR CREAM,FOODSERVICE
41437,COCONUT MILK,FROZEN BAG
41448,RICOTTA CHEESE,PART SKIM
41450,PARMESAN CHEESE,GRATED
41473,ORGANIC SOYMILK,ORGANIC
41474,ORGANIC SOYMILK,VANILLA
41475,ICE CREAM TUB,VANILLA
41476,ICE CREAM TUB,CHOCOLATE
41477,ICE CREAM TUB,STRAWBERRY
41478,ICE CREAM TUB,DUTCH CHOCOLATE
41479,ICE CREAM TUB,MACADAMIA NUT
41480,ICE CREAM TUB,KONA COFFEE
41481,ICE CREAM TUB,COOKIES N CREAM
41482,ICE CREAM TUB,MINT CHOC CHIP
41483,ICE CREAM TUB,ROCKY ROAD
41484,ICE CREAM TUB,HAUPIA SPECIALTY
41485,ICE CREAM TUB,RAINBOW SHERBERT
41486,ICE CREAM PAIL,NEAPOLITAN
41487,ICE CREAM PAIL,VANILLA
41488,ICE CREAM PAIL,CHOCOLATE
41489,ICE CREAM PAIL,RAINBOW SHERBERT
41496,CHOCOLATE SWIRL,ICE CREAM
41610,ALFREDO SAUCE,
41613,PARMESAN CHEESE,SHAVED
41619,MOZZARELLA,SHREDDED
41621,DUTCH SMKD CHEESE,LOG
41622,MANCHEGO CHEESE ,WHEEL
41623,CHEDDAR CHEESE,MATURE LOAF 18 MO
41624,BLUE CHEESE ,DANISH WHEEL
41625,FRENCH BRIE ,CHEESE WHEEL 60%
41626,DANISH FONTINA CHS,RED WAX WHEEL
41627,GOAT CHEESE LOG,
41628,DANISH HAVARTI ,CHEESE LOAF
41629,PORT WINE DERBY,HALF WHEEL CHEESE
41630,RED FOX CHEESE LOAF,
41631,PORT SALUT CHEESE,WHEEL
41632,IBERICO CHEESE,SEMISOFT WHEEL
41634,FRENCH BRIE CHEESE,MINI CUP
41635,FRENCH BLUE CHEESE,BRIE CUP
41636,FRENCH CAMEMBERT,MINI CHEESE CUP
41637,FRENCH BRIE,CHEESE BITES
41638,FORMAGGINI CHEESE,SPREADABLE WEDGE
41683,MOZZARELLA CHEESE ,LOG
41691,BURRATA MOZZARELLA,CHEESE
41693,BURRATA MOZZARELLA ,CHEESE
41712,BOURSIN CHEESE,W/ GARLIC & HERBS
41762,CURD,CHEDDAR CHEESE
41768,GOUDA CHEESE,SMOKE LOG
41802,MOZARELLA CHEESE,CILIEGINE
41805,MOZZARELLA,LOAF
41809,PECORINO ROMANO,WEDGE
41813,BUTTER,CLARIFIED
41816,BUTTER,UNSALTED
41843,GRANA PADANO,WEDGE
41916,MOZZARELLA CURD,
41918,MOZZARELLA CURD,CHEESE
41932,PARMIGIANO REGGIANO WEDGE,
41962,GOAT CHEVRE BULK,
41992,MOZZARELLA CHEESE,OVOLINE FRESH
41995,FETA CHEESE,DOMESTIC
41996,FETA CHEESE,
41998,CHEDDAR CHEESE LOAF,WHITE SHARP
42000,GORGONZOLA CRUMBLE,
42003,EVAPORATED MILK,
42011,COCONUT MILK,
42012,COCONUT MILK,
42013,2% WHT MILK LF,ASEPTIC UHT
42015,WHOLE MILK,
42016,2% MILK,
42017,FAT FREE MILK,
42018,CONDENSED MILK,SWEET
42020,EVAPORATED MILK,
42021,EVAPORATED MILK,
42022,EVAPORATED MILK,
42026,COCONUT MILK,CONDENSED
42027,COCONUT MILK,CONDENSED
42028,COCONUT MILK,EVAPORATED
42037,COCONUT MILK,
42038,COCONUT MILK,
42040,COCONUT MILK,
42044,COCONUT MILK,
42045,COCONUT CREAM,
42049,COCONUT MILK,FROZEN
42050,COCONUT MILK,PURE
42089,RICOTTA CHEESE,WHOLE MILK TLC
42093,WHITE BRIK PAK,WHOLE MILK
42100,BUTTER CUPS,GRADE AA
42107,Butter Ball,Salted .25 oz
42108,Butter Ball,Unsalted .25 oz
42122,MANCHEGO,
42124,PORT SALUT CHEESE,
42132,GORGONZOLA,SPLIT WHEEL
42133,GOAT CHEESE,LOG
42145,SWISS CHEESE,SLICED
42171,HEAVY CREAM,40%
42184,PEPPERJACK CHEESE,SHREDDED
42185,GRANA PADANO,GRATED
42187,MONTEREY JACK,SHREDDED
42188,MONTEREY JACK,SHREDDED
42204,PEPPERJACK CHEESE,CUBES
42206,CONDENSED MILK,SWEET
42213,MONTEREY JACK,SLICED
42221,CR•À_•À__•À_•À___ME FRAICHE,
42222,HORSERADDISH,LOAF
42225,GRUYERE CHEESE,
42226,CHEDDAR CHEESE,SHARP SLICED
42227,CHEDDAR CHEESE,MILD SLICED
42228,PROVOLONE,LOAF
42231,95% ORGANIC CHEESE,CHEDDAR/CARM ONION
42273,FONTINA DANISH CHEESE,
42276,AMERICAN CHEESE,IMITATION SLICED
42277,WHITE AMERICAN SWISS,
42279,SOUR CREAM,HEAVY
42281,BRIE CHEESE,DOMESTIC
42283,MOZZARELLA STICKS,"2.75"" BREADED"
42285,MOZZARELLA,LOAF
42299,ROQUEFORT CHEESE,1/2 WHEEL
42300,BLUE CHEESE WHEEL,
42302,CHEESE BLEND,FEATHER 80/10/10
42304,MONTEREY JACK,SHREDDED
42306,MOZZARELLA,SHREDDED
42308,CHEDDAR CHEESE,MILD SHREDDED
42400,WHIPPED BUTTER,BLEND
42402,FEATHER CHEESE BLEND,80/10/10 LMPS
42601,EUROPEAN/ELGIN STYLE,SALTED BUTTER
42602,EUROPEAN/ELGIN STYLE,UNSALTED BUTTER
43001,NON-DAIRY CREAMER,3 GRAM
43002,COFFEEMATE CREAMER,
43008,COFFEMATE CLUB CREAMER,
43010,ORIGINAL CREAMER,
43011,FRENCH VANILLA CREAMER,
43012,HAZELNUT CREAMER,
43014,COFFEEMATE CREAMER,
43016,NON-DAIRY CREAMER,DRY
43018,ORIGINAL CREAMER,POWDER
43024,WHIP CREAM TOPPING,
49010,CREAM CHEESE LOAF,
49011,CREAM CHEESE,WHIPPED
49019,CREAM CHEESE CUP,
49035,CREAMER,HALF & HALF
49036,CREAMER,
49081,WHIP CREAM TOPPING,
50110,GELATIN MIX,UNFLAVORED
50120,STRAWBERRY GELATIN,
50121,LIME GELATIN,
50123,ORANGE GELATIN,
51016,CHOCOLATE PUDDING ,
51017,VANILLA PUDDING MIX,
51039,CHEESECAKE MIX,INST NO BAKE
52012,TAPIOCA PUDDING,
52014,VANILLA PUDDING,
52015,CHOCOLATE PUDDING,
52016,BANANA PUDDING,
53003,"9"" CHEESECAKE ",NY STRAWBERRY SWIRL
53022,T & S SANDWICH,FRENCH  BREAD
53023,WHEAT BREAD,JUMBO
53024,WHITE BREAD,JUMBO
53028,PIZZA DOUGH BALL,
53031,"10"" CHERRY PIE",RTB
53033,APPLE PIE,HIGH UB
53038,SWEET POTATO PIE,PREBAKED
53039,BAKLAVA,CLASSIC SINBAD
53040,"6"" PITA FLAT",WHITE BREAD
53042,"7 "" PITA FLAT",WHITE BREAD
53044,"10"" PECAN PIE",PREBAKED 6 CT
53045,CINNAMON TWIRL DOUGHG,RTB
53049,LEMON MERINGUE PIE,8 CUT
53050,CHOCOLATE CREAM PIE,8 CUT
53054,LATTICE APPLE PIE,PRE-SLICE 8 CUT
53060,BUTTERMILK BISCUIT,EZ SPLIT
53070,ACAI SORBET,
53084,BIG TIRAMISU ,UNSLICED
53092,CREAM PUFF,CHOCOLATE DIPPED
53094,"9"" MUDD PIE",HIGH TOP
53096,"10"" CHEESECAKE",NY CREAMSTYLE
53097,"10"" MOUSSECAKE",CHOCOLATE
